"discipline","focal_game","next_game","model","model_description","odds_ratio","estimate","standard_error","z_value","p_value","term"
"MS",1,2,"final_score_diff","Controls + final score differential",1.09297934868188,0.0889073148547707,0.00529265491800061,16.7982451590396,2.51371541918953e-63,"final_score_diff"
"MS",1,2,"final_score_diff","Controls + final score differential",0.983069608655782,-0.0170753488743217,0.291383448689943,-0.0586009567499193,0.953269948618228,"roundQualification quarter final"
"MS",1,2,"final_score_diff","Controls + final score differential",0.949828639524222,-0.0514736901060672,0.256765257980142,-0.200469839693219,0.841113143640508,"roundQualification round of 16"
"MS",1,2,"final_score_diff","Controls + final score differential",1.0154324348103,0.0153145659107913,0.290771260916003,0.0526687742885818,0.957995818987442,"roundQualification round of 32"
"MS",1,2,"final_score_diff","Controls + final score differential",0.943360337370274,-0.0583069512351153,0.260974833794898,-0.223419823234524,0.823208777510026,"roundQuarter final"
"MS",1,2,"final_score_diff","Controls + final score differential",1.15902806858836,0.147581782000829,1.04530726631323,0.14118507232935,0.887723738502874,"roundRound 1"
"MS",1,2,"final_score_diff","Controls + final score differential",0.739054874379255,-0.30238310587966,1.0102639245954,-0.29931100034158,0.764702762049193,"roundRound 2"
"MS",1,2,"final_score_diff","Controls + final score differential",0.606910424086735,-0.499374070333417,1.030513589081,-0.484587564516013,0.627968936571745,"roundRound 3"
"MS",1,2,"final_score_diff","Controls + final score differential",0.89622576018115,-0.109562933257036,0.247527911769742,-0.442628600846254,0.658034393932617,"roundRound of 16"
"MS",1,2,"final_score_diff","Controls + final score differential",0.890822596498285,-0.115609977398103,0.240358914730246,-0.48098893077401,0.630524365901889,"roundRound of 32"
"MS",1,2,"final_score_diff","Controls + final score differential",0.912794790485352,-0.0912441876313727,0.26769242523565,-0.340854574241502,0.733213063572825,"roundRound of 64"
"MS",1,2,"final_score_diff","Controls + final score differential",0.738301542237012,-0.303402944016297,0.283840857711856,-1.0689192051565,0.285106077259818,"roundSemi final"
"MS",1,2,"final_score_diff","Controls + final score differential",1.88483668436107,0.6338411775503,0.771663316076587,0.821396021224614,0.411420729153915,"tournament_typeHSBC BWF World Tour Finals"
"MS",1,2,"final_score_diff","Controls + final score differential",1.26838516360866,0.237744566679442,0.151196127647847,1.57242497131392,0.115852026812029,"tournament_typeHSBC BWF World Tour Super 1000"
"MS",1,2,"final_score_diff","Controls + final score differential",1.01027650324553,0.0102240589758385,0.102073042973132,0.100164144009401,0.920214011750671,"tournament_typeHSBC BWF World Tour Super 300"
"MS",1,2,"final_score_diff","Controls + final score differential",1.12271890882663,0.115753340619765,0.114474766543915,1.01116904724465,0.311935527599891,"tournament_typeHSBC BWF World Tour Super 500"
"MS",1,2,"final_score_diff","Controls + final score differential",1.14552771954463,0.135865421260823,0.144202595405599,0.942184298962675,0.346098291061367,"tournament_typeHSBC BWF World Tour Super 750"
"MS",1,2,"max_streak_diff","Controls + final score differential + maximum-streak differential",1.03526576165756,0.034658168304758,0.241222353575233,0.14367726618648,0.885755323868749,"(Intercept)"
"MS",1,2,"max_streak_diff","Controls + final score differential + maximum-streak differential",1.34964089205629,0.299838551180271,0.0268254697994106,11.1773830401605,5.26187861882562e-29,"elo_difference_100"
"MS",1,2,"max_streak_diff","Controls + final score differential + maximum-streak differential",1.09046004388963,0.0865996658137097,0.00876041009989086,9.88534381681386,4.81924614049431e-23,"final_score_diff"
"MS",1,2,"max_streak_diff","Controls + final score differential + maximum-streak differential",1.00714732696605,0.00712190588133084,0.0215721090218368,0.330144163193387,0.741291034806152,"max_streak_diff"
"MS",1,2,"max_streak_diff","Controls + final score differential + maximum-streak differential",0.983234205037934,-0.016907931833892,0.291424679455828,-0.0580181879772978,0.953734141018197,"roundQualification quarter final"
"MS",1,2,"max_streak_diff","Controls + final score differential + maximum-streak differential",0.948616610780692,-0.0527505548542166,0.256805366535438,-0.205410640618125,0.837251307516513,"roundQualification round of 16"
"MS",1,2,"max_streak_diff","Controls + final score differential + maximum-streak differential",1.01364708591133,0.0135548030809271,0.290852107982802,0.0466037642805346,0.9628290318302,"roundQualification round of 32"
"MS",1,2,"max_streak_diff","Controls + final score differential + maximum-streak differential",0.941090404105233,-0.0607160716360322,0.261069292233402,-0.232566883361183,0.816097745461165,"roundQuarter final"
"MS",1,2,"max_streak_diff","Controls + final score differential + maximum-streak differential",1.15991345576099,0.148345395232427,1.04500793302163,0.141956238364131,0.88711457226556,"roundRound 1"
"MS",1,2,"max_streak_diff","Controls + final score differential + maximum-streak differential",0.739622199810501,-0.301615763950869,1.00998315933614,-0.298634448666569,0.765218977962967,"roundRound 2"
"MS",1,2,"max_streak_diff","Controls + final score differential + maximum-streak differential",0.603874332327105,-0.504389161755696,1.03009500875741,-0.489653048959177,0.624379430840623,"roundRound 3"
