"discipline","focal_game","next_game","focal_team_one_points","focal_team_two_points","final_score_diff","predictor","n_matches","mean_momentum","predictor_label"
"WS",2,3,20,22,-2,"excess_late_game_momentum",23,0.441391304347826,"Excess late-game momentum"
"WS",2,3,20,22,-2,"excess_max_streak_momentum",23,0.0615652173913043,"Excess maximum-streak momentum"
"WS",2,3,20,22,-2,"excess_streak_bonus_momentum",23,0.0872106242979888,"Excess streak-bonus momentum"
"WS",2,3,21,12,9,"excess_late_game_momentum",35,0.624,"Excess late-game momentum"
"WS",2,3,21,12,9,"excess_max_streak_momentum",35,0.322857142857143,"Excess maximum-streak momentum"
"WS",2,3,21,12,9,"excess_streak_bonus_momentum",35,0.104565126928906,"Excess streak-bonus momentum"
"WS",2,3,21,13,8,"excess_late_game_momentum",32,0.7495,"Excess late-game momentum"
"WS",2,3,21,13,8,"excess_max_streak_momentum",32,0.00625000000000003,"Excess maximum-streak momentum"
"WS",2,3,21,13,8,"excess_streak_bonus_momentum",32,-0.0589373727503354,"Excess streak-bonus momentum"
"WS",2,3,21,14,7,"excess_late_game_momentum",29,-0.180689655172414,"Excess late-game momentum"
"WS",2,3,21,14,7,"excess_max_streak_momentum",29,0.494758620689655,"Excess maximum-streak momentum"
"WS",2,3,21,14,7,"excess_streak_bonus_momentum",29,0.368499474387424,"Excess streak-bonus momentum"
"WS",2,3,21,15,6,"excess_late_game_momentum",53,-0.352603773584906,"Excess late-game momentum"
"WS",2,3,21,15,6,"excess_max_streak_momentum",53,0.0831698113207547,"Excess maximum-streak momentum"
"WS",2,3,21,15,6,"excess_streak_bonus_momentum",53,-0.0300105183574452,"Excess streak-bonus momentum"
"WS",2,3,21,16,5,"excess_late_game_momentum",47,0.779744680851064,"Excess late-game momentum"
"WS",2,3,21,16,5,"excess_max_streak_momentum",47,0.147914893617021,"Excess maximum-streak momentum"
"WS",2,3,21,16,5,"excess_streak_bonus_momentum",47,0.0389927759789331,"Excess streak-bonus momentum"
"WS",2,3,21,17,4,"excess_late_game_momentum",54,0.100444444444444,"Excess late-game momentum"
"WS",2,3,21,17,4,"excess_max_streak_momentum",54,0.00844444444444444,"Excess maximum-streak momentum"
"WS",2,3,21,17,4,"excess_streak_bonus_momentum",54,-0.272221073646921,"Excess streak-bonus momentum"
"WS",2,3,21,18,3,"excess_late_game_momentum",44,-0.00981818181818181,"Excess late-game momentum"
"WS",2,3,21,18,3,"excess_max_streak_momentum",44,0.435454545454545,"Excess maximum-streak momentum"
"WS",2,3,21,18,3,"excess_streak_bonus_momentum",44,0.395049904672271,"Excess streak-bonus momentum"
"WS",2,3,21,19,2,"excess_late_game_momentum",37,-0.625297297297297,"Excess late-game momentum"
"WS",2,3,21,19,2,"excess_max_streak_momentum",37,-0.0547027027027027,"Excess maximum-streak momentum"
"WS",2,3,21,19,2,"excess_streak_bonus_momentum",37,-0.415000449880234,"Excess streak-bonus momentum"
"WS",2,3,22,20,2,"excess_late_game_momentum",26,-0.056,"Excess late-game momentum"
"WS",2,3,22,20,2,"excess_max_streak_momentum",26,0.694769230769231,"Excess maximum-streak momentum"
"WS",2,3,22,20,2,"excess_streak_bonus_momentum",26,0.799598066266171,"Excess streak-bonus momentum"
"MS",1,2,7,21,-14,"excess_late_game_momentum",34,0.425411764705882,"Excess late-game momentum"
"MS",1,2,7,21,-14,"excess_max_streak_momentum",34,-0.137411764705882,"Excess maximum-streak momentum"
"MS",1,2,7,21,-14,"excess_streak_bonus_momentum",34,0.571579067425587,"Excess streak-bonus momentum"
"MS",1,2,8,21,-13,"excess_late_game_momentum",34,0.288470588235294,"Excess late-game momentum"
"MS",1,2,8,21,-13,"excess_max_streak_momentum",34,0.0632941176470588,"Excess maximum-streak momentum"
"MS",1,2,8,21,-13,"excess_streak_bonus_momentum",34,0.4939265038518,"Excess streak-bonus momentum"
"MS",1,2,9,21,-12,"excess_late_game_momentum",70,-0.0102857142857143,"Excess late-game momentum"
"MS",1,2,9,21,-12,"excess_max_streak_momentum",70,0.455428571428571,"Excess maximum-streak momentum"
"MS",1,2,9,21,-12,"excess_streak_bonus_momentum",70,0.726435647274665,"Excess streak-bonus momentum"
"MS",1,2,10,21,-11,"excess_late_game_momentum",70,-0.088,"Excess late-game momentum"
"MS",1,2,10,21,-11,"excess_max_streak_momentum",70,0.181142857142857,"Excess maximum-streak momentum"
"MS",1,2,10,21,-11,"excess_streak_bonus_momentum",70,0.36014530496907,"Excess streak-bonus momentum"
"MS",1,2,11,21,-10,"excess_late_game_momentum",100,-0.196,"Excess late-game momentum"
"MS",1,2,11,21,-10,"excess_max_streak_momentum",100,-0.258,"Excess maximum-streak momentum"
"MS",1,2,11,21,-10,"excess_streak_bonus_momentum",100,-0.0893766399791176,"Excess streak-bonus momentum"
"MS",1,2,12,21,-9,"excess_late_game_momentum",128,0.3125,"Excess late-game momentum"
"MS",1,2,12,21,-9,"excess_max_streak_momentum",128,0.182,"Excess maximum-streak momentum"
"MS",1,2,12,21,-9,"excess_streak_bonus_momentum",128,0.335878341901246,"Excess streak-bonus momentum"
"MS",1,2,13,21,-8,"excess_late_game_momentum",144,-0.0556666666666666,"Excess late-game momentum"
"MS",1,2,13,21,-8,"excess_max_streak_momentum",144,-0.0197777777777778,"Excess maximum-streak momentum"
"MS",1,2,13,21,-8,"excess_streak_bonus_momentum",144,0.130878816542558,"Excess streak-bonus momentum"
"MS",1,2,14,21,-7,"excess_late_game_momentum",148,0.0547027027027027,"Excess late-game momentum"
"MS",1,2,14,21,-7,"excess_max_streak_momentum",148,0.228162162162162,"Excess maximum-streak momentum"
"MS",1,2,14,21,-7,"excess_streak_bonus_momentum",148,0.405270611237294,"Excess streak-bonus momentum"
"MS",1,2,15,21,-6,"excess_late_game_momentum",157,-0.0282292993630573,"Excess late-game momentum"
"MS",1,2,15,21,-6,"excess_max_streak_momentum",157,0.232687898089172,"Excess maximum-streak momentum"
"MS",1,2,15,21,-6,"excess_streak_bonus_momentum",157,0.211882488979478,"Excess streak-bonus momentum"
"MS",1,2,16,21,-5,"excess_late_game_momentum",167,-0.136047904191617,"Excess late-game momentum"
"MS",1,2,16,21,-5,"excess_max_streak_momentum",167,0.284407185628743,"Excess maximum-streak momentum"
"MS",1,2,16,21,-5,"excess_streak_bonus_momentum",167,0.400064762411683,"Excess streak-bonus momentum"
"MS",1,2,17,21,-4,"excess_late_game_momentum",191,-0.132942408376963,"Excess late-game momentum"
"MS",1,2,17,21,-4,"excess_max_streak_momentum",191,-0.0702408376963351,"Excess maximum-streak momentum"
"MS",1,2,17,21,-4,"excess_streak_bonus_momentum",191,-0.0485873582811124,"Excess streak-bonus momentum"
"MS",1,2,18,21,-3,"excess_late_game_momentum",186,-0.392172043010753,"Excess late-game momentum"
"MS",1,2,18,21,-3,"excess_max_streak_momentum",186,0.434279569892473,"Excess maximum-streak momentum"
"MS",1,2,18,21,-3,"excess_streak_bonus_momentum",186,0.45026412472134,"Excess streak-bonus momentum"
