"tournament","city","country","date","tournament_type","discipline","round","winner","nb_sets","retired","game_1_score","game_2_score","game_3_score","team_one_players","team_two_players","team_one_nationalities","team_two_nationalities","team_one_total_points","team_two_total_points","team_one_most_consecutive_points","team_two_most_consecutive_points","team_one_game_points","team_two_game_points","team_one_most_consecutive_points_game_1","team_two_most_consecutive_points_game_1","team_one_game_points_game_1","team_two_game_points_game_1","game_1_scores","team_one_most_consecutive_points_game_2","team_two_most_consecutive_points_game_2","team_one_game_points_game_2","team_two_game_points_game_2","game_2_scores","team_one_most_consecutive_points_game_3","team_two_most_consecutive_points_game_3","team_one_game_points_game_3","team_two_game_points_game_3","game_3_scores","team_one_pre_match_elo","team_two_pre_match_elo","team_one_pre_match_weighted_elo","team_two_pre_match_weighted_elo"
"PRINCESS SIRIVANNAVARI Thailand Masters 2018","Bangkok","Thailand","10-01-2018","HSBC BWF World Tour Super 300","WS","Round of 32",1,2,"False","21-11","21-7","","Pui Yin Yip","Rusydina Antardayu Riodingin","HKG","INA",42,18,8,2,2,0,8,2,1,0,"['0-0', '0-1', '0-2', '1-2', '1-3', '2-3', '3-3', '4-3', '5-3', '6-3', '7-3', '8-3', '9-3', '9-4', '10-4', '10-5', '11-5', '11-6', '11-7', '12-7', '12-8', '13-8', '14-8', '14-9', '15-9', '15-10', '16-10', '16-11', '17-11', '18-11', '19-11', '20-11', '21-11']",7,1,1,0,"['0-0', '1-0', '2-0', '2-1', '3-1', '4-1', '5-1', '5-2', '6-2', '7-2', '7-3', '8-3', '8-4', '9-4', '9-5', '10-5', '11-5', '12-5', '13-5', '13-6', '14-6', '14-7', '15-7', '16-7', '17-7', '18-7', '19-7', '20-7', '21-7']",,,,,"[]",1500,1500,1500,1500
"PRINCESS SIRIVANNAVARI Thailand Masters 2018","Bangkok","Thailand","10-01-2018","HSBC BWF World Tour Super 300","WS","Round of 32",2,3,"False","21-14","11-21","8-21","Lyanny Alessandra Mainaky","Natsumi Shimoda","INA","JPN",40,56,3,8,2,2,3,4,2,0,"['0-0', '1-0', '2-0', '2-1', '3-1', '3-2', '4-2', '5-2', '5-3', '6-3', '7-3', '8-3', '8-4', '9-4', '10-4', '10-5', '11-5', '12-5', '12-6', '13-6', '14-6', '14-7', '15-7', '16-7', '16-8', '17-8', '17-9', '17-10', '17-11', '17-12', '18-12', '18-13', '19-13', '20-13', '20-14', '21-14']",2,5,0,1,"['0-0', '1-0', '1-1', '2-1', '2-2', '3-2', '3-3', '3-4', '4-4', '4-5', '4-6', '5-6', '5-7', '5-8', '5-9', '5-10', '5-11', '6-11', '6-12', '7-12', '8-12', '8-13', '8-14', '8-15', '8-16', '9-16', '10-16', '10-17', '11-17', '11-18', '11-19', '11-20', '11-21']",1,8,0,1,"['0-0', '1-0', '1-1', '1-2', '2-2', '2-3', '3-3', '3-4', '3-5', '3-6', '4-6', '4-7', '4-8', '5-8', '5-9', '5-10', '5-11', '5-12', '5-13', '5-14', '5-15', '5-16', '6-16', '6-17', '7-17', '7-18', '8-18', '8-19', '8-20', '8-21']",1500,1500,1500,1500
"PRINCESS SIRIVANNAVARI Thailand Masters 2018","Bangkok","Thailand","10-01-2018","HSBC BWF World Tour Super 300","WS","Round of 32",2,2,"False","6-21","12-21","","Hsuan-Yu Wendy Chen","Pattarasuda Chaiwan","AUS","THA",18,42,3,17,0,3,3,15,0,1,"['0-0', '1-0', '1-1', '1-2', '2-2', '2-3', '2-4', '2-5', '3-5', '4-5', '5-5', '5-6', '6-6', '6-7', '6-8', '6-9', '6-10', '6-11', '6-12', '6-13', '6-14', '6-15', '6-16', '6-17', '6-18', '6-19', '6-20', '6-21']",3,5,0,2,"['0-0', '0-1', '0-2', '1-2', '1-3', '1-4', '1-5', '1-6', '1-7', '2-7', '3-7', '4-7', '4-8', '4-9', '4-10', '4-11', '4-12', '5-12', '5-13', '5-14', '6-14', '6-15', '7-15', '8-15', '9-15', '9-16', '9-17', '10-17', '10-18', '10-19', '11-19', '11-20', '12-20', '12-21']",,,,,"[]",1500,1500,1500,1500
"PRINCESS SIRIVANNAVARI Thailand Masters 2018","Bangkok","Thailand","10-01-2018","HSBC BWF World Tour Super 300","WS","Round of 32",1,2,"False","21-10","22-20","","Natsuki Nidaira","Dinar Dyah Ayustine","JPN","INA",43,30,6,4,6,0,4,2,1,0,"['0-0', '1-0', '2-0', '2-1', '3-1', '3-2', '3-3', '4-3', '5-3', '6-3', '7-3', '7-4', '8-4', '9-4', '10-4', '11-4', '11-5', '12-5', '12-6', '13-6', '14-6', '14-7', '14-8', '15-8', '15-9', '16-9', '17-9', '17-10', '18-10', '19-10', '20-10', '21-10']",3,4,5,0,"['0-0', '1-0', '2-0', '2-1', '3-1', '4-1', '5-1', '5-2', '6-2', '6-3', '7-3', '8-3', '9-3', '9-4', '10-4', '10-5', '10-6', '11-6', '11-7', '12-7', '13-7', '14-7', '14-8', '14-9', '15-9', '16-9', '16-10', '16-11', '17-11', '17-12', '17-13', '17-14', '17-15', '18-15', '18-16', '19-16', '20-16', '20-17', '20-18', '20-19', '20-20', '21-20', '22-20']",,,,,"[]",1500,1500,1500,1500
"PRINCESS SIRIVANNAVARI Thailand Masters 2018","Bangkok","Thailand","10-01-2018","HSBC BWF World Tour Super 300","WS","Round of 32",2,3,"False","14-21","21-17","11-21","Jesica Muljati","Yen Mei Ho","INA","MAS",46,59,6,9,1,3,3,7,0,1,"['0-0', '0-1', '1-1', '1-2', '2-2', '3-2', '4-2', '4-3', '5-3', '6-3', '6-4', '7-4', '7-5', '7-6', '7-7', '7-8', '8-8', '8-9', '8-10', '9-10', '9-11', '9-12', '10-12', '10-13', '11-13', '12-13', '13-13', '13-14', '14-14', '14-15', '14-16', '14-17', '14-18', '14-19', '14-20', '14-21']",6,5,1,0,"['0-0', '0-1', '0-2', '1-2', '1-3', '1-4', '2-4', '3-4', '4-4', '5-4', '6-4', '7-4', '7-5', '8-5', '9-5', '9-6', '10-6', '11-6', '11-7', '12-7', '12-8', '13-8', '13-9', '13-10', '14-10', '14-11', '14-12', '14-13', '14-14', '14-15', '15-15', '16-15', '16-16', '17-16', '17-17', '18-17', '19-17', '20-17', '21-17']",2,6,0,2,"['0-0', '0-1', '0-2', '0-3', '1-3', '1-4', '1-5', '1-6', '1-7', '1-8', '1-9', '2-9', '2-10', '2-11', '2-12', '3-12', '3-13', '3-14', '4-14', '4-15', '5-15', '5-16', '6-16', '6-17', '6-18', '7-18', '8-18', '8-19', '9-19', '10-19', '10-20', '11-20', '11-21']",1500,1500,1500,1500
"PRINCESS SIRIVANNAVARI Thailand Masters 2018","Bangkok","Thailand","10-01-2018","HSBC BWF World Tour Super 300","WS","Round of 32",2,2,"False","8-21","5-21","","Delphine Lansac","Pornpawee Chochuwong","FRA","THA",13,42,3,9,0,2,3,8,0,1,"['0-0', '0-1', '1-1', '1-2', '1-3', '1-4', '1-5', '1-6', '1-7', '1-8', '2-8', '2-9', '3-9', '4-9', '5-9', '5-10', '5-11', '5-12', '6-12', '6-13', '7-13', '8-13', '8-14', '8-15', '8-16', '8-17', '8-18', '8-19', '8-20', '8-21']",1,9,0,1,"['0-0', '1-0', '1-1', '1-2', '1-3', '1-4', '2-4', '2-5', '2-6', '2-7', '2-8', '2-9', '2-10', '2-11', '2-12', '2-13', '3-13', '3-14', '3-15', '3-16', '4-16', '4-17', '4-18', '5-18', '5-19', '5-20', '5-21']",,,,,"[]",1500,1500,1500,1500
"PRINCESS SIRIVANNAVARI Thailand Masters 2018","Bangkok","Thailand","10-01-2018","HSBC BWF World Tour Super 300","WS","Round of 32",1,3,"False","16-21","21-12","21-14","Selvaduray Kisona","Ruselli Hartawan","MAS","INA",58,47,10,4,4,2,3,3,0,2,"['0-0', '0-1', '1-1', '2-1', '2-2', '2-3', '2-4', '3-4', '3-5', '3-6', '4-6', '4-7', '4-8', '4-9', '5-9', '6-9', '7-9', '7-10', '8-10', '8-11', '8-12', '9-12', '9-13', '10-13', '11-13', '11-14', '11-15', '12-15', '12-16', '13-16', '13-17', '14-17', '15-17', '15-18', '15-19', '15-20', '16-20', '16-21']",10,3,1,0,"['0-0', '0-1', '0-2', '1-2', '2-2', '2-3', '2-4', '2-5', '3-5', '4-5', '4-6', '5-6', '5-7', '5-8', '6-8', '6-9', '7-9', '8-9', '9-9', '10-9', '11-9', '12-9', '13-9', '14-9', '15-9', '16-9', '16-10', '16-11', '17-11', '18-11', '19-11', '19-12', '20-12', '21-12']",8,4,3,0,"['0-0', '0-1', '1-1', '2-1', '3-1', '4-1', '5-1', '5-2', '5-3', '5-4', '5-5', '6-5', '7-5', '8-5', '9-5', '10-5', '11-5', '12-5', '13-5', '13-6', '14-6', '14-7', '15-7', '15-8', '15-9', '15-10', '15-11', '16-11', '17-11', '18-11', '19-11', '19-12', '20-12', '20-13', '20-14', '21-14']",1500,1500,1500,1500
"PRINCESS SIRIVANNAVARI Thailand Masters 2018","Bangkok","Thailand","10-01-2018","HSBC BWF World Tour Super 300","WS","Round of 32",2,3,"False","16-21","21-17","14-21","Chasinee Korepap","Jin Wei Goh","THA","MAS",51,59,5,6,1,5,2,4,0,1,"['0-0', '1-0', '1-1', '1-2', '2-2', '2-3', '3-3', '3-4', '3-5', '4-5', '4-6', '5-6', '6-6', '6-7', '7-7', '7-8', '8-8', '9-8', '9-9', '9-10', '9-11', '9-12', '10-12', '11-12', '11-13', '11-14', '12-14', '12-15', '13-15', '13-16', '14-16', '14-17', '15-17', '15-18', '15-19', '16-19', '16-20', '16-21']",5,5,1,0,"['0-0', '1-0', '2-0', '2-1', '2-2', '3-2', '3-3', '3-4', '4-4', '5-4', '6-4', '7-4', '8-4', '8-5', '9-5', '9-6', '10-6', '11-6', '11-7', '12-7', '13-7', '14-7', '14-8', '14-9', '14-10', '15-10', '16-10', '16-11', '16-12', '17-12', '18-12', '18-13', '18-14', '18-15', '18-16', '18-17', '19-17', '20-17', '21-17']",3,6,0,4,"['0-0', '0-1', '0-2', '0-3', '0-4', '0-5', '1-5', '1-6', '1-7', '1-8', '1-9', '1-10', '1-11', '2-11', '2-12', '2-13', '2-14', '3-14', '4-14', '4-15', '5-15', '6-15', '7-15', '7-16', '8-16', '9-16', '10-16', '10-17', '10-18', '10-19', '11-19', '11-20', '12-20', '13-20', '14-20', '14-21']",1536,1500,1539.5,1500
"PRINCESS SIRIVANNAVARI Thailand Masters 2018","Bangkok","Thailand","10-01-2018","HSBC BWF World Tour Super 300","WS","Round of 32",1,2,"False","21-10","21-13","","Manassanan Lerthattasin","Vaishnavi Reddy Jakka","THA","IND",42,23,6,3,4,0,5,2,3,0,"['0-0', '0-1', '1-1', '2-1', '3-1', '3-2', '4-2', '5-2', '5-3', '6-3', '7-3', '8-3', '8-4', '9-4', '10-4', '11-4', '12-4', '13-4', '13-5', '14-5', '15-5', '16-5', '17-5', '17-6', '18-6', '19-6', '19-7', '19-8', '20-8', '20-9', '20-10', '21-10']",6,3,1,0,"['0-0', '0-1', '0-2', '1-2', '2-2', '2-3', '3-3', '4-3', '4-4', '5-4', '6-4', '6-5', '7-5', '8-5', '9-5', '10-5', '11-5', '12-5', '12-6', '12-7', '12-8', '13-8', '13-9', '14-9', '15-9', '16-9', '17-9', '18-9', '18-10', '19-10', '19-11', '19-12', '19-13', '20-13', '21-13']",,,,,"[]",1536,1500,1539.3982300885,1500
"PRINCESS SIRIVANNAVARI Thailand Masters 2018","Bangkok","Thailand","10-01-2018","HSBC BWF World Tour Super 300","WS","Round of 32",1,2,"False","21-18","21-6","","Ying Ying Lee","Chananchida Jucharoen","MAS","THA",42,24,10,9,2,0,4,9,1,0,"['0-0', '1-0', '1-1', '2-1', '2-2', '2-3', '2-4', '2-5', '2-6', '2-7', '2-8', '2-9', '2-10', '3-10', '4-10', '5-10', '6-10', '6-11', '7-11', '8-11', '9-11', '9-12', '10-12', '10-13', '10-14', '10-15', '11-15', '12-15', '12-16', '13-16', '14-16', '14-17', '15-17', '16-17', '17-17', '17-18', '18-18', '19-18', '20-18', '21-18']",10,2,1,0,"['0-0', '0-1', '1-1', '2-1', '3-1', '4-1', '4-2', '5-2', '6-2', '6-3', '7-3', '7-4', '8-4', '9-4', '10-4', '11-4', '12-4', '13-4', '14-4', '15-4', '16-4', '17-4', '17-5', '17-6', '18-6', '19-6', '20-6', '21-6']",,,,,"[]",1500,1500,1500,1500
"PRINCESS SIRIVANNAVARI Thailand Masters 2018","Bangkok","Thailand","11-01-2018","HSBC BWF World Tour Super 300","WS","Round of 16",1,2,"False","21-13","21-13","","Nitchaon Jindapol","Mugdha Agrey","THA","IND",42,26,11,4,4,0,4,2,1,0,"['0-0', '0-1', '1-1', '2-1', '2-2', '2-3', '3-3', '3-4', '3-5', '4-5', '5-5', '5-6', '6-6', '7-6', '8-6', '9-6', '9-7', '10-7', '10-8', '11-8', '12-8', '12-9', '12-10', '13-10', '14-10', '14-11', '15-11', '16-11', '16-12', '17-12', '17-13', '18-13', '19-13', '20-13', '21-13']",7,4,3,0,"['0-0', '1-0', '2-0', '3-0', '4-0', '5-0', '6-0', '7-0', '7-1', '8-1', '8-2', '9-2', '10-2', '10-3', '11-3', '12-3', '13-3', '14-3', '14-4', '14-5', '14-6', '14-7', '15-7', '15-8', '16-8', '17-8', '17-9', '18-9', '18-10', '19-10', '19-11', '20-11', '20-12', '20-13', '21-13']",,,,,"[]",1539.71689540639,1536,1552.88431922865,1546.8
"PRINCESS SIRIVANNAVARI Thailand Masters 2018","Bangkok","Thailand","11-01-2018","HSBC BWF World Tour Super 300","WS","Round of 16",1,2,"False","21-10","21-18","","Gregoria Mariska Tunjung","Yulia Yosephin Susanto","INA","INA",42,28,8,4,2,0,5,2,1,0,"['0-0', '1-0', '2-0', '2-1', '3-1', '4-1', '4-2', '4-3', '5-3', '6-3', '6-4', '7-4', '7-5', '8-5', '8-6', '8-7', '9-7', '10-7', '11-7', '11-8', '12-8', '13-8', '14-8', '15-8', '16-8', '16-9', '17-9', '18-9', '19-9', '19-10', '20-10', '21-10']",8,4,1,0,"['0-0', '0-1', '0-2', '1-2', '1-3', '2-3', '2-4', '2-5', '2-6', '3-6', '3-7', '3-8', '3-9', '3-10', '4-10', '4-11', '4-12', '5-12', '5-13', '5-14', '6-14', '7-14', '8-14', '9-14', '10-14', '11-14', '12-14', '13-14', '13-15', '14-15', '15-15', '16-15', '17-15', '17-16', '18-16', '18-17', '18-18', '19-18', '20-18', '21-18']",,,,,"[]",1536,1536,1540.8,1539.98181818182
