"discipline","focal_game","next_game","model","model_description","estimate","standard_error","z_value","p_value","term"
"MS",2,3,"final_score_diff","Controls + final score differential",-0.210285779691519,0.475850623475865,-0.441915528355264,0.658550333389197,"roundQualification round of 32"
"MS",2,3,"final_score_diff","Controls + final score differential",-0.48753673169915,0.389267667465265,-1.25244599653952,0.210407394733748,"roundQuarter final"
"MS",2,3,"final_score_diff","Controls + final score differential",13.5166622711566,329.628581842999,0.0410057349868845,0.967291323850956,"roundRound 1"
"MS",2,3,"final_score_diff","Controls + final score differential",-0.297956833994799,1.69824727244754,-0.175449617278278,0.860726356214129,"roundRound 2"
"MS",2,3,"final_score_diff","Controls + final score differential",-0.169709330430551,1.74546390325925,-0.0972287826254431,0.922544711095924,"roundRound 3"
"MS",2,3,"final_score_diff","Controls + final score differential",-0.761642503685622,0.366914873638563,-2.07580165974927,0.0379122988092677,"roundRound of 16"
"MS",2,3,"final_score_diff","Controls + final score differential",-0.459854649862176,0.354935940247974,-1.29559900172663,0.195113673239315,"roundRound of 32"
"MS",2,3,"final_score_diff","Controls + final score differential",-0.609530891573424,0.409901135874434,-1.48701927910769,0.137009719144812,"roundRound of 64"
"MS",2,3,"final_score_diff","Controls + final score differential",-0.316906468932309,0.409408186242684,-0.77405992254502,0.43889535624849,"roundSemi final"
"MS",2,3,"final_score_diff","Controls + final score differential",0.512343528863884,1.2166304574468,0.42111680315737,0.67366979216493,"tournament_typeHSBC BWF World Tour Finals"
"MS",2,3,"final_score_diff","Controls + final score differential",0.145214535175293,0.233646945347468,0.621512662874051,0.534262365456754,"tournament_typeHSBC BWF World Tour Super 1000"
"MS",2,3,"final_score_diff","Controls + final score differential",0.201064665294638,0.161445829850106,1.24540017838377,0.212984687770432,"tournament_typeHSBC BWF World Tour Super 300"
"MS",2,3,"final_score_diff","Controls + final score differential",0.286000862522257,0.177129840593199,1.61463964267373,0.106388755299519,"tournament_typeHSBC BWF World Tour Super 500"
"MS",2,3,"final_score_diff","Controls + final score differential",0.121613036745932,0.228037527808896,0.533302732731995,0.593824036294977,"tournament_typeHSBC BWF World Tour Super 750"
"WS",1,2,"controls_only","Controls only",0.0458124077621085,0.239994869364847,0.190889113102094,0.84861246982291,"(Intercept)"
"WS",1,2,"controls_only","Controls only",0.532047256164637,0.0282116743890077,18.8591165780625,2.47317654804791e-79,"elo_difference_100"
"WS",1,2,"controls_only","Controls only",-0.18248098337504,0.270061393449418,-0.675701850769046,0.499229960672434,"roundQualification quarter final"
"WS",1,2,"controls_only","Controls only",-0.113139841085518,0.321161765973982,-0.352283033263316,0.72462601111157,"roundQualification round of 16"
"WS",1,2,"controls_only","Controls only",0.139740212493612,0.260309580306727,0.536823163899516,0.591389769568028,"roundQuarter final"
"WS",1,2,"controls_only","Controls only",0.0651999853521806,1.1707340059993,0.055691544806993,0.955587535316735,"roundRound 1"
"WS",1,2,"controls_only","Controls only",-1.10244862865922,1.06923304217959,-1.03106487095827,0.302510399967846,"roundRound 2"
"WS",1,2,"controls_only","Controls only",-1.51121584502411,1.08203286673891,-1.39664504792603,0.162520336620389,"roundRound 3"
"WS",1,2,"controls_only","Controls only",-0.0442190023954342,0.245929558182136,-0.179803528792117,0.857306813193855,"roundRound of 16"
"WS",1,2,"controls_only","Controls only",-0.00953905434064344,0.238520431006517,-0.0399926090204944,0.968099018727814,"roundRound of 32"
"WS",1,2,"controls_only","Controls only",-0.0915488517412095,0.281600334210993,-0.325102070626859,0.745103821875952,"roundSemi final"
"WS",1,2,"controls_only","Controls only",1.0493530213205,0.83481687885781,1.25698587066928,0.208758751956005,"tournament_typeHSBC BWF World Tour Finals"
"WS",1,2,"controls_only","Controls only",-0.125268022113554,0.153723145563662,-0.814893695118123,0.41513316244717,"tournament_typeHSBC BWF World Tour Super 1000"
"WS",1,2,"controls_only","Controls only",0.115724409656171,0.106285963127748,1.08880238039597,0.276241041695117,"tournament_typeHSBC BWF World Tour Super 300"
"WS",1,2,"controls_only","Controls only",0.0175109184834004,0.121246889984224,0.144423650665834,0.88516594205597,"tournament_typeHSBC BWF World Tour Super 500"
"WS",1,2,"controls_only","Controls only",-0.0829099350029159,0.147390680849958,-0.562518162782065,0.573763032385939,"tournament_typeHSBC BWF World Tour Super 750"
"WS",1,2,"excess_late_game","Controls + final score differential + excess late-game momentum",-0.0650299377427267,0.252923441546828,-0.257113130143322,0.797091441812189,"(Intercept)"
"WS",1,2,"excess_late_game","Controls + final score differential + excess late-game momentum",0.38533776927771,0.0297405545511621,12.9566437174136,2.1547068188957e-38,"elo_difference_100"
"WS",1,2,"excess_late_game","Controls + final score differential + excess late-game momentum",0.0135476455018962,0.0175516593903536,0.7718726304216,0.440189869090065,"excess_late_game_momentum"
"WS",1,2,"excess_late_game","Controls + final score differential + excess late-game momentum",0.107358990083722,0.00631506689923187,17.0004517445065,8.1489527615457e-65,"final_score_diff"
"WS",1,2,"excess_late_game","Controls + final score differential + excess late-game momentum",-0.0584388232344716,0.285814795639627,-0.204463954022012,0.837990957484577,"roundQualification quarter final"
"WS",1,2,"excess_late_game","Controls + final score differential + excess late-game momentum",-0.0527641639771317,0.341944779921683,-0.154306095824058,0.877368391111013,"roundQualification round of 16"
"WS",1,2,"excess_late_game","Controls + final score differential + excess late-game momentum",0.245270486362376,0.273508380385141,0.896756750257519,0.36984873092658,"roundQuarter final"
"WS",1,2,"excess_late_game","Controls + final score differential + excess late-game momentum",-0.0909340208731124,1.20281237957711,-0.0756011680766734,0.939736407135178,"roundRound 1"
